gen,error
0,55940
1,55439
2,54918
3,54410
4,50223
5,50223
6,50223
7,49899
8,49312
9,48852
10,48347
11,47861
12,47405
13,47013
14,46547
15,46323
16,46013
17,45559
18,45310
19,45096
20,44677
21,44082
22,44082
23,43693
24,42772
25,42772
26,42695
27,42359
28,42109
29,41831
30,41487
31,41419
32,41171
33,40952
34,40394
35,40394
36,40187
37,39898
38,39745
39,39573
40,39408
41,39095
42,38946
43,38769
44,37913
45,37913
46,37722
47,37333
48,36978
49,36648
50,36216
51,36181
52,36050
53,35917
54,35651
55,35641
56,35488
57,35346
58,35209
59,35209
60,35043
61,34958
62,34755
63,34668
64,34561
65,33460
66,33460
67,33453
68,32591
69,32591
70,32591
71,32463
72,32435
73,32406
74,32406
75,32234
76,32160
77,32135
78,32081
79,31895
80,31890
81,31458
82,31458
83,31309
84,30917
85,30905
86,30804
87,30604
88,30598
89,30545
90,30450
91,30353
92,30302
93,30028
94,30028
95,30017
96,29925
97,29856
98,29760
99,29760
100,29621
101,29610
102,29490
103,29204
104,29204
105,29156
106,29156
107,27937
108,27937
109,27937
110,27937
111,27937
112,27937
113,27937
114,27937
115,27937
116,27937
117,27937
118,27937
119,27889
120,27854
121,27854
122,27854
123,27852
124,27802
125,27802
126,27780
127,26577
128,26577
129,26577
130,26577
131,26577
132,26577
133,25207
134,25207
135,25207
136,25207
137,25207
138,25207
139,25207
140,25207
141,25207
142,25207
143,25207
144,25207
145,25207
146,25207
147,25116
148,25116
149,25116
150,25116
151,25116
152,25116
153,25116
154,25116
155,25116
156,25116
157,25116
158,25116
159,25116
