gen,error
0,25116
1,25073
2,24895
3,24762
4,24607
5,24444
6,24318
7,24192
8,24072
9,23980
10,23887
11,23783
12,23677
13,23578
14,23490
15,23405
16,23336
17,23276
18,23209
19,23127
20,23063
21,23006
22,22939
23,22904
24,22849
25,22806
26,22750
27,22717
28,22683
29,22651
30,22621
31,22597
32,22570
33,22552
34,22536
35,22520
36,22504
37,22497
38,22486
39,22481
40,22474
41,22470
42,22467
43,22466
44,22466
45,22466
46,22466
47,22466
48,22466
49,22466
50,22466
51,22466
52,22466
53,22466
54,22466
55,22466
56,22466
57,22466
58,22466
59,22466
60,22466
61,22466
62,22466
63,22466
64,22466
65,22466
66,22466
67,22466
68,22466
69,22466
70,22466
71,22466
72,22466
73,22466
74,22466
75,22466
76,22466
77,22466
78,22466
79,22466
80,22466
81,22466
82,22466
83,22466
84,22466
85,22466
86,22466
87,22466
88,22466
89,22466
90,22466
91,22466
92,22466
93,22466
94,22466
95,22466
96,22466
97,22466
98,22466
99,22466
100,22466
101,22466
102,22466
103,22466
104,22466
105,22466
106,22466
107,22466
108,22466
109,22466
110,22466
111,22466
112,22466
113,22466
114,22466
115,22466
116,22466
117,22466
118,22466
119,22466
