gen,error
0,10354
1,10319
2,10125
3,10002
4,9867
5,9710
6,9491
7,9380
8,9279
9,9120
10,8960
11,8813
12,8730
13,8628
14,8480
15,8402
16,8301
17,8174
18,8087
19,7978
20,7880
21,7794
22,7711
23,7632
24,7565
25,7484
26,7411
27,7338
28,7277
29,7208
30,7156
31,7102
32,7062
33,7021
34,6956
35,6915
36,6877
37,6840
38,6807
39,6766
40,6739
41,6693
42,6663
43,6629
44,6602
45,6584
46,6556
47,6541
48,6516
49,6503
50,6483
51,6474
52,6460
53,6454
54,6443
55,6435
56,6426
57,6420
58,6414
59,6410
60,6406
61,6404
62,6403
63,6403
64,6403
65,6403
66,6403
67,6403
68,6403
69,6403
70,6403
71,6403
72,6403
73,6403
74,6403
75,6403
76,6403
77,6403
78,6403
79,6403
80,6403
81,6403
82,6403
83,6403
84,6403
85,6403
86,6403
87,6403
88,6403
89,6403
